State,County,Year,Reg_Voters
AZ,APACHE COUNTY,2020,51906
AZ,COCHISE COUNTY,2020,82022
AZ,COCONINO COUNTY,2020,90669
AZ,GILA COUNTY,2020,34001
AZ,GRAHAM COUNTY,2020,19851
AZ,GREENLEE COUNTY,2020,4866
AZ,LA PAZ COUNTY,2020,10909
AZ,MARICOPA COUNTY,2020,2595272
AZ,MOHAVE COUNTY,2020,135180
AZ,NAVAJO COUNTY,2020,70650
AZ,PIMA COUNTY,2020,638355
AZ,PINAL COUNTY,2020,248874
AZ,SANTA CRUZ COUNTY,2020,29963
AZ,YAVAPAI COUNTY,2020,165361
AZ,YUMA COUNTY,2020,103273
FL,ALACHUA COUNTY,2020,190433
FL,BAKER COUNTY,2020,16933
FL,BAY COUNTY,2020,124653
FL,BRADFORD COUNTY,2020,17742
FL,BREVARD COUNTY,2020,452424
FL,BROWARD COUNTY,2020,1266991
FL,CALHOUN COUNTY,2020,8709
FL,CHARLOTTE COUNTY,2020,152142
FL,CITRUS COUNTY,2020,117092
FL,CLAY COUNTY,2020,164745
FL,COLLIER COUNTY,2020,231708
FL,COLUMBIA COUNTY,2020,44239
FL,DESOTO COUNTY,2020,17819
FL,DIXIE COUNTY,2020,10595
FL,DUVAL COUNTY,2020,664211
FL,ESCAMBIA COUNTY,2020,232238
FL,FLAGLER COUNTY,2020,91916
FL,FRANKLIN COUNTY,2020,8485
FL,GADSDEN COUNTY,2020,31155
FL,GILCHRIST COUNTY,2020,12516
FL,GLADES COUNTY,2020,7097
FL,GULF COUNTY,2020,10829
FL,HAMILTON COUNTY,2020,8098
FL,HARDEE COUNTY,2020,13111
FL,HENDRY COUNTY,2020,19122
FL,HERNANDO COUNTY,2020,146893
FL,HIGHLANDS COUNTY,2020,66317
FL,HILLSBOROUGH COUNTY,2020,934346
FL,HOLMES COUNTY,2020,11489
FL,INDIAN RIVER COUNTY,2020,124586
FL,JACKSON COUNTY,2020,29857
FL,JEFFERSON COUNTY,2020,10236
FL,LAFAYETTE COUNTY,2020,4568
FL,LAKE COUNTY,2020,264691
FL,LEE COUNTY,2020,489187
FL,LEON COUNTY,2020,217454
FL,LEVY COUNTY,2020,30099
FL,LIBERTY COUNTY,2020,4601
FL,MADISON COUNTY,2020,11758
FL,MANATEE COUNTY,2020,273427
FL,MARION COUNTY,2020,264614
FL,MARTIN COUNTY,2020,118472
FL,MIAMI-DADE COUNTY,2020,1564297
FL,MONROE COUNTY,2020,56910
FL,NASSAU COUNTY,2020,72223
FL,OKALOOSA COUNTY,2020,150654
FL,OKEECHOBEE COUNTY,2020,22394
FL,ORANGE COUNTY,2020,866460
FL,OSCEOLA COUNTY,2020,239027
FL,PALM BEACH COUNTY,2020,1020222
FL,PASCO COUNTY,2020,393392
FL,PINELLAS COUNTY,2020,711462
FL,POLK COUNTY,2020,471241
FL,PUTNAM COUNTY,2020,50692
FL,SANTA ROSA COUNTY,2020,145810
FL,SARASOTA COUNTY,2020,340092
FL,SEMINOLE COUNTY,2020,335172
FL,ST. JOHNS COUNTY,2020,210059
FL,ST. LUCIE COUNTY,2020,223640
FL,SUMTER COUNTY,2020,105612
FL,SUWANNEE COUNTY,2020,27728
FL,TAYLOR COUNTY,2020,12779
FL,UNION COUNTY,2020,7718
FL,VOLUSIA COUNTY,2020,398530
FL,WAKULLA COUNTY,2020,22909
FL,WALTON COUNTY,2020,58057
FL,WASHINGTON COUNTY,2020,17191
GA,APPLING COUNTY,2020,11440
GA,ATKINSON COUNTY,2020,4801
GA,BACON COUNTY,2020,6726
GA,BAKER COUNTY,2020,2258
GA,BALDWIN COUNTY,2020,26742
GA,BANKS COUNTY,2020,12905
GA,BARROW COUNTY,2020,55694
GA,BARTOW COUNTY,2020,74380
GA,BEN HILL COUNTY,2020,9892
GA,BERRIEN COUNTY,2020,11317
GA,BIBB COUNTY,2020,108126
GA,BLECKLEY COUNTY,2020,7558
GA,BRANTLEY COUNTY,2020,11302
GA,BROOKS COUNTY,2020,11170
GA,BRYAN COUNTY,2020,30651
GA,BULLOCH COUNTY,2020,44737
GA,BURKE COUNTY,2020,16570
GA,BUTTS COUNTY,2020,17195
GA,CALHOUN COUNTY,2020,3187
GA,CAMDEN COUNTY,2020,35141
GA,CANDLER COUNTY,2020,6328
GA,CARROLL COUNTY,2020,83866
GA,CATOOSA COUNTY,2020,45785
GA,CHARLTON COUNTY,2020,6562
GA,CHATHAM COUNTY,2020,202999
GA,CHATTAHOOCHEE COUNTY,2020,3943
GA,CHATTOOGA COUNTY,2020,14183
GA,CHEROKEE COUNTY,2020,190605
GA,CLARKE COUNTY,2020,76848
GA,CLAY COUNTY,2020,2053
GA,CLAYTON COUNTY,2020,194338
GA,CLINCH COUNTY,2020,4345
GA,COBB COUNTY,2020,537659
GA,COFFEE COUNTY,2020,25165
GA,COLQUITT COUNTY,2020,25087
GA,COLUMBIA COUNTY,2020,107656
GA,COOK COUNTY,2020,10650
GA,COWETA COUNTY,2020,102262
GA,CRAWFORD COUNTY,2020,8536
GA,CRISP COUNTY,2020,12560
GA,DADE COUNTY,2020,11682
GA,DAWSON COUNTY,2020,21557
GA,DECATUR COUNTY,2020,16726
GA,DEKALB COUNTY,2020,547802
GA,DODGE COUNTY,2020,11464
GA,DOOLY COUNTY,2020,5966
GA,DOUGHERTY COUNTY,2020,61402
GA,DOUGLAS COUNTY,2020,101613
GA,EARLY COUNTY,2020,7340
GA,ECHOLS COUNTY,2020,2170
GA,EFFINGHAM COUNTY,2020,44372
GA,ELBERT COUNTY,2020,12330
GA,EMANUEL COUNTY,2020,13844
GA,EVANS COUNTY,2020,6148
GA,FANNIN COUNTY,2020,20399
GA,FAYETTE COUNTY,2020,92427
GA,FLOYD COUNTY,2020,60749
GA,FORSYTH COUNTY,2020,164279
GA,FRANKLIN COUNTY,2020,15170
GA,FULTON COUNTY,2020,808742
GA,GILMER COUNTY,2020,22315
GA,GLASCOCK COUNTY,2020,2040
GA,GLYNN COUNTY,2020,61947
GA,GORDON COUNTY,2020,36431
GA,GRADY COUNTY,2020,15441
GA,GREENE COUNTY,2020,14197
GA,GWINNETT COUNTY,2020,582917
GA,HABERSHAM COUNTY,2020,28318
GA,HALL COUNTY,2020,128535
GA,HANCOCK COUNTY,2020,5835
GA,HARALSON COUNTY,2020,20692
GA,HARRIS COUNTY,2020,25690
GA,HART COUNTY,2020,16942
GA,HEARD COUNTY,2020,7772
GA,HENRY COUNTY,2020,172241
GA,HOUSTON COUNTY,2020,105587
GA,IRWIN COUNTY,2020,6124
GA,JACKSON COUNTY,2020,52010
GA,JASPER COUNTY,2020,10434
GA,JEFF DAVIS COUNTY,2020,8495
GA,JEFFERSON COUNTY,2020,11350
GA,JENKINS COUNTY,2020,5075
GA,JOHNSON COUNTY,2020,5610
GA,JONES COUNTY,2020,20406
GA,LAMAR COUNTY,2020,12872
GA,LANIER COUNTY,2020,5496
GA,LAURENS COUNTY,2020,32874
GA,LEE COUNTY,2020,22930
GA,LIBERTY COUNTY,2020,35970
GA,LINCOLN COUNTY,2020,6182
GA,LONG COUNTY,2020,9683
GA,LOWNDES COUNTY,2020,75535
GA,LUMPKIN COUNTY,2020,22412
GA,MACON COUNTY,2020,7079
GA,MADISON COUNTY,2020,20737
GA,MARION COUNTY,2020,4922
GA,MCDUFFIE COUNTY,2020,15083
GA,MCINTOSH COUNTY,2020,9320
GA,MERIWETHER COUNTY,2020,15336
GA,MILLER COUNTY,2020,3920
GA,MITCHELL COUNTY,2020,13481
GA,MONROE COUNTY,2020,21151
GA,MONTGOMERY COUNTY,2020,5467
GA,MORGAN COUNTY,2020,14843
GA,MURRAY COUNTY,2020,22340
GA,MUSCOGEE COUNTY,2020,132029
GA,NEWTON COUNTY,2020,79098
GA,OCONEE COUNTY,2020,30051
GA,OGLETHORPE COUNTY,2020,10848
GA,PAULDING COUNTY,2020,115297
GA,PEACH COUNTY,2020,18164
GA,PICKENS COUNTY,2020,23820
GA,PIERCE COUNTY,2020,12735
GA,PIKE COUNTY,2020,13825
GA,POLK COUNTY,2020,24256
GA,PULASKI COUNTY,2020,5712
GA,PUTNAM COUNTY,2020,16000
GA,QUITMAN COUNTY,2020,1553
GA,RABUN COUNTY,2020,13074
GA,RANDOLPH COUNTY,2020,4338
GA,RICHMOND COUNTY,2020,135428
GA,ROCKDALE COUNTY,2020,65573
GA,SCHLEY COUNTY,2020,2890
GA,SCREVEN COUNTY,2020,9610
GA,SEMINOLE COUNTY,2020,5937
GA,SPALDING COUNTY,2020,46088
GA,STEPHENS COUNTY,2020,18078
GA,STEWART COUNTY,2020,2909
GA,SUMTER COUNTY,2020,18033
GA,TALBOT COUNTY,2020,4567
GA,TALIAFERRO COUNTY,2020,1246
GA,TATTNALL COUNTY,2020,12216
GA,TAYLOR COUNTY,2020,5405
GA,TELFAIR COUNTY,2020,6076
GA,TERRELL COUNTY,2020,6625
GA,THOMAS COUNTY,2020,30218
GA,TIFT COUNTY,2020,24551
GA,TOOMBS COUNTY,2020,16227
GA,TOWNS COUNTY,2020,10189
GA,TREUTLEN COUNTY,2020,4248
GA,TROUP COUNTY,2020,43169
GA,TURNER COUNTY,2020,5604
GA,TWIGGS COUNTY,2020,6308
GA,UNION COUNTY,2020,19235
GA,UPSON COUNTY,2020,18187
GA,WALKER COUNTY,2020,43050
GA,WALTON COUNTY,2020,70129
GA,WARE COUNTY,2020,20580
GA,WARREN COUNTY,2020,3789
GA,WASHINGTON COUNTY,2020,12994
GA,WAYNE COUNTY,2020,18164
GA,WEBSTER COUNTY,2020,1713
GA,WHEELER COUNTY,2020,3169
GA,WHITE COUNTY,2020,20630
GA,WHITFIELD COUNTY,2020,54779
GA,WILCOX COUNTY,2020,4562
GA,WILKES COUNTY,2020,6836
GA,WILKINSON COUNTY,2020,6484
GA,WORTH COUNTY,2020,13847
MI,ALCONA COUNTY,2020,9842
MI,ALGER COUNTY,2020,7565
MI,ALLEGAN COUNTY,2020,93547
MI,ALPENA COUNTY,2020,24768
MI,ANTRIM COUNTY,2020,21961
MI,ARENAC COUNTY,2020,12693
MI,BARAGA COUNTY,2020,6681
MI,BARRY COUNTY,2020,49600
MI,BAY COUNTY,2020,84534
MI,BENZIE COUNTY,2020,16421
MI,BERRIEN COUNTY,2020,134312
MI,BRANCH COUNTY,2020,33640
MI,CALHOUN COUNTY,2020,105964
MI,CASS COUNTY,2020,44434
MI,CHARLEVOIX COUNTY,2020,23670
MI,CHEBOYGAN COUNTY,2020,22538
MI,CHIPPEWA COUNTY,2020,26085
MI,CLARE COUNTY,2020,25154
MI,CLINTON COUNTY,2020,62024
MI,CRAWFORD COUNTY,2020,11966
MI,DELTA COUNTY,2020,31218
MI,DICKINSON COUNTY,2020,23280
MI,EATON COUNTY,2020,87635
MI,EMMET COUNTY,2020,30536
MI,GENESEE COUNTY,2020,348259
