year,state,state_po,county,dem,gop,other,total
2012,Arizona,AZ,APACHE COUNTY,17147,8250,451,25848
2012,Arizona,AZ,COCHISE COUNTY,18546,29497,960,49003
2012,Arizona,AZ,COCONINO COUNTY,29257,21220,1254,51731
2012,Arizona,AZ,GILA COUNTY,7697,13455,376,21528
2012,Arizona,AZ,GRAHAM COUNTY,3609,8076,170,11855
2012,Arizona,AZ,GREENLEE COUNTY,1310,1592,72,2974
2012,Arizona,AZ,LA PAZ COUNTY,1880,3714,123,5717
2012,Arizona,AZ,MARICOPA COUNTY,602288,749885,24385,1376558
2012,Arizona,AZ,MOHAVE COUNTY,19533,49168,1309,70010
2012,Arizona,AZ,NAVAJO COUNTY,16945,19884,506,37335
2012,Arizona,AZ,PIMA COUNTY,201251,174779,6220,382250
2012,Arizona,AZ,PINAL COUNTY,44306,62079,1930,108315
2012,Arizona,AZ,SANTA CRUZ COUNTY,9486,4235,173,13894
2012,Arizona,AZ,YAVAPAI COUNTY,33918,64468,1897,100283
2012,Arizona,AZ,YUMA COUNTY,18059,23352,542,41953
2012,Florida,FL,ALACHUA COUNTY,69699,48797,1922,120418
2012,Florida,FL,BAKER COUNTY,2311,8975,82,11368
2012,Florida,FL,BAY COUNTY,22051,56876,934,79861
2012,Florida,FL,BRADFORD COUNTY,3325,8219,91,11635
2012,Florida,FL,BREVARD COUNTY,122993,159300,3266,285559
2012,Florida,FL,BROWARD COUNTY,508312,244101,4009,756422
2012,Florida,FL,CALHOUN COUNTY,1664,4366,122,6152
2012,Florida,FL,CHARLOTTE COUNTY,35906,47996,780,84682
2012,Florida,FL,CITRUS COUNTY,28460,44662,813,73935
2012,Florida,FL,CLAY COUNTY,25759,70022,808,96589
2012,Florida,FL,COLLIER COUNTY,51698,96520,894,149112
2012,Florida,FL,COLUMBIA COUNTY,8462,18429,272,27163
2012,Florida,FL,DESOTO COUNTY,4174,5587,104,9865
2012,Florida,FL,DIXIE COUNTY,1798,5052,91,6941
2012,Florida,FL,DUVAL COUNTY,196737,211615,3496,411848
2012,Florida,FL,ESCAMBIA COUNTY,58185,88711,1606,148502
2012,Florida,FL,FLAGLER COUNTY,23207,26969,419,50595
2012,Florida,FL,FRANKLIN COUNTY,1845,3570,59,5474
2012,Florida,FL,GADSDEN COUNTY,15770,6630,99,22499
2012,Florida,FL,GILCHRIST COUNTY,1885,5917,107,7909
2012,Florida,FL,GLADES COUNTY,1603,2344,42,3989
2012,Florida,FL,GULF COUNTY,2014,4995,99,7108
