,,repturnout,repturnout,repturnout,gop,gop,gop,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020
state,county,,,,,,,,,
Arizona,APACHE COUNTY,0.1631047231173761,0.16017416997123085,0.21810072052152032,8250,8240,11442,50581,51444,52462
Arizona,COCHISE COUNTY,0.28773069569628157,0.28631707689955666,0.3593467341761918,29497,28092,35557,102516,98115,98949
Arizona,COCONINO COUNTY,0.20141426605286888,0.19056389144683386,0.23579659362306712,21220,21108,27052,105355,110766,114726
Arizona,GILA COUNTY,0.32038765596723495,0.3339062463211923,0.4237847062079144,13455,14182,18377,41996,42473,43364
Arizona,GRAHAM COUNTY,0.30327838071275676,0.2932578110725379,0.37735650342285415,8076,8025,10749,26629,27365,28485
Arizona,GREENLEE COUNTY,0.25611325611325614,0.27293710328909404,0.3511329196132198,1592,1892,2433,6216,6932,6929
Arizona,LA PAZ COUNTY,0.2189471202027943,0.23362904167153029,0.2913873423474605,3714,4003,5129,16963,17134,17602
Arizona,MARICOPA COUNTY,0.2553999836518943,0.23269341898458926,0.290029700178504,749885,747361,995665,2936120,3211784,3432976
Arizona,MOHAVE COUNTY,0.30062977682665853,0.3455386257188593,0.44414722149958713,49168,58282,78535,163550,168670,176822
Arizona,NAVAJO COUNTY,0.25996574581301396,0.26063991488068095,0.33808860202435087,19884,20577,27657,76487,78948,81804
Arizona,PIMA COUNTY,0.22665279958917486,0.2096715819792743,0.2497175385710096,174779,167428,207758,771131,798525,831972
Arizona,PINAL COUNTY,0.21706778932056828,0.22825770090370226,0.2970853853090102,62079,72819,107077,285989,319021,360425
Arizona,SANTA CRUZ COUNTY,0.1266106610063081,0.11607196044558289,0.18151979603200188,4235,3897,6194,33449,33574,34123
Arizona,YAVAPAI COUNTY,0.3719486513774701,0.382046544013283,0.4631370683722625,64468,71330,91527,173325,186705,197624
Arizona,YUMA COUNTY,0.15784777612545628,0.1629878625370795,0.22802681346665168,23352,25165,36534,147940,154398,160218
Florida,ALACHUA COUNTY,0.236162129461585,0.2164993250864444,0.2308995533489767,48797,46834,50972,206625,216324,220754
Florida,BAKER COUNTY,0.445056034910245,0.4893515877543259,0.5355906290750483,8975,10294,11911,20166,21036,22239
Florida,BAY COUNTY,0.42227023334892455,0.4325275397796818,0.4764709274664437,56876,62194,66097,134691,143792,138722
Florida,BRADFORD COUNTY,0.38195928989683053,0.4172752808988764,0.4546414430268368,8219,8913,10334,21518,21360,22730
Florida,BREVARD COUNTY,0.3601367298771059,0.38702757003179683,0.4218516316380099,159300,181848,207883,442332,469858,492787
Florida,BROWARD COUNTY,0.17214493401608044,0.1736167432564508,0.21614103372785246,244101,260951,333409,1417997,1503029,1542553
Florida,CALHOUN COUNTY,0.3779104994373756,0.4097350585335798,0.46689093484419264,4366,4655,5274,11553,11361,11296
Florida,CHARLOTTE COUNTY,0.34159881569207995,0.38771528828509805,0.43968927655947027,47996,60218,73243,140504,155315,166579
Florida,CITRUS COUNTY,0.3789861344466507,0.44758601416994065,0.511914273628801,44662,54456,65352,117846,121666,127662
Florida,CLAY COUNTY,0.48240797514312683,0.47520428021730726,0.5001835427299317,70022,74963,84480,145151,157749,168898
Florida,COLLIER COUNTY,0.358061009856694,0.35034960851821817,0.4027837212280609,96520,105423,128950,269563,300908,320147
Florida,COLUMBIA COUNTY,0.34746785323730156,0.37728998795961843,0.42378124666642963,18429,20368,23836,53038,53985,56246
Florida,DESOTO COUNTY,0.20316363636363635,0.23250548847420416,0.2694738889429155,5587,6778,8313,27500,29152,30849
Florida,DIXIE COUNTY,0.38659320477502296,0.43376545969304126,0.4914564095106522,5052,5822,6759,13068,13422,13753
Florida,DUVAL COUNTY,0.3126639115974427,0.2957320651171628,0.31504015460770585,211615,211672,233762,676813,715756,742007
Florida,ESCAMBIA COUNTY,0.3706283188428806,0.360933302445428,0.38349762976773705,88711,88808,96674,239353,246051,252085
Florida,FLAGLER COUNTY,0.3384069064170452,0.3819851945472601,0.44857952769035164,26969,33850,43043,79694,88616,95954
Florida,FRANKLIN COUNTY,0.3692212224635433,0.4169193450576107,0.4557418600116982,3570,4125,4675,9669,9894,10258
Florida,GADSDEN COUNTY,0.18465394791811726,0.18707076324204086,0.20849625740140768,6630,6728,7465,35905,35965,35804
Florida,GILCHRIST COUNTY,0.4427235316124205,0.48108493932905066,0.5303997312730937,5917,6740,7895,13365,14010,14885
Florida,GLADES COUNTY,0.22553641874338498,0.26590929262447854,0.3198849699737799,2344,2996,3782,10393,11267,11823
Florida,GULF COUNTY,0.37536634853836326,0.3922708870077291,0.5483986722885081,4995,5329,6113,13307,13585,11147
Florida,HAMILTON COUNTY,0.2630343671416597,0.29788890811559093,0.3265148921602191,3138,3443,3815,11930,11558,11684
Florida,HARDEE COUNTY,0.23557740543794523,0.26123791488089304,0.3048956621345685,4696,5242,6122,19934,20066,20079
Florida,HENDRY COUNTY,0.19668699037684567,0.21165738494653047,0.2566883116883117,5355,6195,7906,27226,29269,30800
Florida,HERNANDO COUNTY,0.3221870115717174,0.397125771085311,0.4440660435665544,44938,58970,70412,139478,148492,158562
Florida,HIGHLANDS COUNTY,0.3217935504699937,0.3501510037306804,0.3947142048670062,25915,29565,34873,80533,84435,88350
Florida,HILLSBOROUGH COUNTY,0.25501782268643997,0.247199587244216,0.28550574241538984,250186,266870,327398,981053,1079573,1146730
Florida,HOLMES COUNTY,0.442816,0.48342916209057435,0.5171530977982591,6919,7483,8080,15625,15479,15624
Florida,INDIAN RIVER COUNTY,0.37824379967442306,0.38667705864575547,0.4364218626062848,43450,48620,58872,114873,125738,134897
Florida,JACKSON COUNTY,0.3369748110198649,0.36308765853410074,0.4114006428135044,13418,14257,15488,39819,39266,37647
Florida,JEFFERSON COUNTY,0.3266986959505834,0.34203655352480417,0.3767664872139973,3808,3930,4479,11656,11490,11888
Florida,LAFAYETTE COUNTY,0.3814152966404575,0.40318645040907136,0.4638196915776987,2668,2809,3128,6995,6967,6744
Florida,LAKE COUNTY,0.3618934754871397,0.3796411189954304,0.4227144488479882,87643,102188,125859,242179,269170,297740
Florida,LEE COUNTY,0.29569622292636893,0.32382406242815215,0.3661257510972141,154163,191551,233247,521356,591528,637068
Florida,LEON COUNTY,0.2426684176653737,0.2310846435901179,0.24047565232677867,55805,53821,57453,229964,232906,238914
Florida,LEVY COUNTY,0.38088918380889186,0.4309400907242296,0.5009121631725334,12054,13775,16749,31647,31965,33437
Florida,LIBERTY COUNTY,0.3468495628580042,0.37562776957163957,0.4123442480440452,2301,2543,2846,6634,6770,6902
Florida,MADISON COUNTY,0.29613449827905747,0.3285917496443812,0.3695652173913043,4474,4851,5576,15108,14763,15088
Florida,MANATEE COUNTY,0.3209203311633067,0.3351623964782041,0.37787821985729836,85627,101944,124987,266817,304163,330760
Florida,MARION COUNTY,0.34379133750618907,0.38208302624865353,0.42885276701390634,93043,107833,127826,270638,282224,298065
Florida,MARTIN COUNTY,0.3910322999513066,0.4032408424977831,0.4533783984108631,48183,53204,61168,123220,131941,134916
Florida,MIAMI-DADE COUNTY,0.1641460835615324,0.1563233206542572,0.24585548302673282,332981,333999,532833,2028565,2136591,2167261
Florida,MONROE COUNTY,0.30421991648740987,0.3356317612086666,0.4079743398383537,19234,21904,25693,63224,65262,62977
Florida,NASSAU COUNTY,0.5091004967000068,0.5356824612690919,0.5981731309724564,29929,34266,42566,58788,63967,71160
Florida,OKALOOSA COUNTY,0.47677871319757287,0.461773150318905,0.4868700427089689,70168,71893,79798,147171,155689,163900
Florida,OKEECHOBEE COUNTY,0.23982196622594582,0.29380731063936694,0.3454091004908604,7328,9356,11470,30556,31844,33207
Florida,ORANGE COUNTY,0.2037837259586552,0.1900528346412998,0.22565374832873256,188589,195216,245398,925437,1027167,1087498
Florida,OSCEOLA COUNTY,0.18910344506300808,0.19798320915349102,0.2576880319549993,40592,50301,73480,214655,254067,285151
Florida,PALM BEACH COUNTY,0.2280750275185716,0.2329253464354304,0.2759385683817934,247398,272402,334711,1084722,1169482,1212991
Florida,PASCO COUNTY,0.30219062466401464,0.350118019247732,0.40653687374386643,112427,142101,179621,372040,405866,441832
Florida,PINELLAS COUNTY,0.27998960171414167,0.29910144898541013,0.33686037336377417,213258,239201,276209,761664,799732,819951
Florida,POLK COUNTY,0.2774317474508084,0.3047808957766657,0.34406993645034323,131577,157430,194586,474268,516535,565542
Florida,PUTNAM COUNTY,0.3397500131849586,0.38992514310876264,0.4342586761527071,19326,22138,25514,56883,56775,58753
Florida,SANTA ROSA COUNTY,0.477776409245802,0.4948612110425266,0.536952102082307,58186,65339,77385,121785,132035,144119
Florida,SARASOTA COUNTY,0.3379451233684417,0.3527794157670326,0.3979689821843366,110504,124438,148370,326988,352736,372818
Florida,SEMINOLE COUNTY,0.3278914891903741,0.30507524927454627,0.33520239382487393,109943,109443,125241,335303,358741,373628
Florida,ST. JOHNS COUNTY,0.5004653238143805,0.48411468000087343,0.5347284811621305,78513,88684,110946,156880,183188,207481
Florida,ST. LUCIE COUNTY,0.25349787556493736,0.288439678768256,0.3286737374425594,56202,70289,86831,221706,243687,264186
Florida,SUMTER COUNTY,0.4354897465018107,0.46549197549391763,0.5101483438325544,40646,52730,62761,93334,113278,123025
Florida,SUWANNEE COUNTY,0.3711340206185567,0.41231133300626244,0.4678412589804995,12672,14287,16410,34144,34651,35076
Florida,TAYLOR COUNTY,0.3397303468522344,0.390400540814602,0.44777585210860776,6249,6930,7751,18394,17751,17310
Florida,UNION COUNTY,0.3232881163187393,0.3703583590076212,0.41987730061349693,3980,4568,5133,12311,12334,12225
Florida,VOLUSIA COUNTY,0.2899899297053945,0.329352129283959,0.3807622210344616,117490,143007,173821,405152,434207,456508
Florida,WAKULLA COUNTY,0.38418593110293203,0.419523486450892,0.48125303726963475,9290,10512,12874,24181,25057,26751
Florida,WALTON COUNTY,0.47159253000943624,0.49489844935918376,0.5585467984471154,21490,25756,32947,45569,52043,58987
Florida,WASHINGTON COUNTY,0.409683995922528,0.4412035145075603,0.48416511422688496,8038,8637,9876,19620,19576,20398
Georgia,APPLING COUNTY,0.38074796274738065,0.3975973368070633,0.470410149210697,5233,5494,6526,13744,13818,13873
Georgia,ATKINSON COUNTY,0.3284189120488053,0.31347020530796194,0.3817427385892116,1938,1878,2300,5901,5991,6025
Georgia,BACON COUNTY,0.37550078912225326,0.40157574310612393,0.48229504261193135,3093,3364,4018,8237,8377,8331
Georgia,BAKER COUNTY,0.30203924586379377,0.30214424951267055,0.36657131181038005,785,775,897,2599,2565,2447
Georgia,BALDWIN COUNTY,0.20297413677819678,0.21056519122394265,0.24323807442216272,7589,7697,8903,37389,36554,36602
