,,turnout,turnout,turnout,winner,winner,winner,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020
state,county,,,,,,,,,
Arizona,APACHE COUNTY,0.5110219252288408,0.5376914703366767,0.6704281194007091,blue,blue,blue,50581,51444,52462
Arizona,COCHISE COUNTY,0.47800343361036324,0.5097589563267594,0.610839927639491,red,red,red,102516,98115,98949
Arizona,COCONINO COUNTY,0.4910160884628162,0.5397324088619252,0.6386695256524241,blue,blue,blue,105355,110766,114726
Arizona,GILA COUNTY,0.512620249547576,0.5253219692510536,0.6379024075269809,red,red,red,41996,42473,43364
Arizona,GRAHAM COUNTY,0.44519133275752,0.44341311894756075,0.5264174126733369,red,red,red,26629,27365,28485
Arizona,GREENLEE COUNTY,0.47844272844272845,0.4717253317945759,0.5318227738490403,red,red,red,6216,6932,6929
Arizona,LA PAZ COUNTY,0.337027648411248,0.3473211159098868,0.4237018520622656,red,red,red,16963,17134,17602
Arizona,MARICOPA COUNTY,0.4688357424083484,0.48815051074418453,0.6024347388388384,red,red,blue,2936120,3211784,3432976
Arizona,MOHAVE COUNTY,0.42806481198410273,0.4739609889132626,0.5919399169786566,red,red,red,163550,168670,176822
Arizona,NAVAJO COUNTY,0.4881221645508387,0.510386583573998,0.6328174661385751,red,red,red,76487,78948,81804
Arizona,PIMA COUNTY,0.495700471126177,0.5280235434081588,0.625498213882198,blue,blue,blue,771131,798525,831972
Arizona,PINAL COUNTY,0.3787383430831256,0.4060735813629824,0.513210792814039,red,red,red,285989,319021,360425
Arizona,SANTA CRUZ COUNTY,0.4153786361326198,0.48945612676475847,0.5731031855346833,blue,blue,blue,33449,33574,34123
Arizona,YAVAPAI COUNTY,0.5785835857493149,0.6129991162529124,0.7247146095615917,red,red,red,173325,186705,197624
Arizona,YUMA COUNTY,0.28358118156009193,0.34333346286869,0.4361619793031994,red,red,red,147940,154398,160218
Florida,ALACHUA COUNTY,0.5827852389594677,0.5943445942197815,0.6459860296982162,blue,blue,blue,206625,216324,220754
Florida,BAKER COUNTY,0.563721114747595,0.6005894656778855,0.6321777058320968,red,red,red,20166,21036,22239
Florida,BAY COUNTY,0.5929200911716447,0.6081909981083787,0.6705785672063551,red,red,red,134691,143792,138722
Florida,BRADFORD COUNTY,0.5407101031694396,0.5663857677902622,0.5997360316761988,red,red,red,21518,21360,22730
Florida,BREVARD COUNTY,0.6455761735528969,0.669887497924905,0.7320891176106512,red,red,red,442332,469858,492787
Florida,BROWARD COUNTY,0.5334440058758939,0.5535162661532146,0.620835718448572,blue,blue,blue,1417997,1503029,1542553
Florida,CALHOUN COUNTY,0.5325023803341123,0.5352521785054133,0.5777266288951841,red,red,red,11553,11361,11296
Florida,CHARLOTTE COUNTY,0.6027017024426351,0.6205067121655989,0.6984073622725554,red,red,red,140504,155315,166579
Florida,CITRUS COUNTY,0.6273865892775317,0.6550720825867539,0.7301154611395717,red,red,red,117846,121666,127662
Florida,CLAY COUNTY,0.6654380610536613,0.6750153725221713,0.7365688166822579,red,red,red,145151,157749,168898
Florida,COLLIER COUNTY,0.5531619695581367,0.5675787948475947,0.6491330545030877,red,red,red,269563,300908,320147
Florida,COLUMBIA COUNTY,0.5121422376409367,0.5317588218949708,0.5874551079187853,red,red,red,53038,53985,56246
Florida,DESOTO COUNTY,0.35872727272727273,0.371089462129528,0.4103536581412688,red,red,red,27500,29152,30849
Florida,DIXIE COUNTY,0.5311447811447811,0.5365817314856206,0.5938340725659856,red,red,red,13068,13422,13753
Florida,DUVAL COUNTY,0.6085107703309481,0.6045286382510241,0.6641716318040126,red,red,blue,676813,715756,742007
Florida,ESCAMBIA COUNTY,0.620430911666033,0.6196642159552288,0.6758513993295913,red,red,red,239353,246051,252085
Florida,FLAGLER COUNTY,0.6348658619218511,0.6489008756883633,0.7473997957354566,red,red,red,79694,88616,95954
Florida,FRANKLIN COUNTY,0.566139207777433,0.6079442086112795,0.6676740105283681,red,red,red,9669,9894,10258
Florida,GADSDEN COUNTY,0.6266258181311795,0.6148477686639788,0.663668863814099,blue,blue,blue,35905,35965,35804
Florida,GILCHRIST COUNTY,0.5917695473251029,0.6009992862241256,0.6506550218340611,red,red,red,13365,14010,14885
Florida,GLADES COUNTY,0.3838160300202059,0.3863495162865004,0.4392286221771124,red,red,red,10393,11267,11823
Florida,GULF COUNTY,0.5341549560381754,0.5368421052631579,0.7323046559612452,red,red,red,13307,13585,11147
Florida,HAMILTON COUNTY,0.4532271584241408,0.47240006921612737,0.49897295446764806,red,red,red,11930,11558,11684
Florida,HARDEE COUNTY,0.36249623758402727,0.37790292036280276,0.4225808058170228,red,red,red,19934,20066,20079
Florida,HENDRY COUNTY,0.3740909424814515,0.3797533226280365,0.42012987012987013,red,red,red,27226,29269,30800
Florida,HERNANDO COUNTY,0.5998580421285077,0.631656924278749,0.6869363403589763,red,red,red,139478,148492,158562
Florida,HIGHLANDS COUNTY,0.5270386052922404,0.5410789364599988,0.5904923599320883,red,red,red,80533,84435,88350
Florida,HILLSBOROUGH COUNTY,0.5525715736050958,0.5536077689975574,0.6209508777131496,blue,blue,blue,981053,1079573,1146730
Florida,HOLMES COUNTY,0.529536,0.5500355320111119,0.5803891449052739,red,red,red,15625,15479,15624
Florida,INDIAN RIVER COUNTY,0.6221131162240039,0.6363151950881992,0.7226550627515809,red,red,red,114873,125738,134897
Florida,JACKSON COUNTY,0.525904718852809,0.5358579941934498,0.5955056179775281,red,red,red,39819,39266,37647
Florida,JEFFERSON COUNTY,0.6698695950583391,0.665361183637946,0.7108849259757739,blue,red,red,11656,11490,11888
Florida,LAFAYETTE COUNTY,0.48591851322373125,0.4868666570977465,0.5424080664294187,red,red,red,6995,6967,6744
Florida,LAKE COUNTY,0.6227253395215935,0.6332875134673255,0.7097266071068717,red,red,red,242179,269170,297740
Florida,LEE COUNTY,0.5105263965505336,0.5518251037989749,0.6182997733365982,red,red,red,521356,591528,637068
Florida,LEON COUNTY,0.6451140178462715,0.6531905575639958,0.681956687343563,blue,blue,blue,229964,232906,238914
Florida,LEVY COUNTY,0.581382121528107,0.6067573908962928,0.6921972665011813,red,red,red,31647,31965,33437
Florida,LIBERTY COUNTY,0.4950256255652698,0.48685376661742985,0.5159374094465372,red,red,red,6634,6770,6902
Florida,MADISON COUNTY,0.5768467037331215,0.5761024182076814,0.6216861081654295,red,red,red,15108,14763,15088
Florida,MANATEE COUNTY,0.5752669432607368,0.5883621610781061,0.6559378401257709,red,red,red,266817,304163,330760
Florida,MARION COUNTY,0.5963131563195117,0.6190118487442599,0.685675943166759,red,red,red,270638,282224,298065
Florida,MARTIN COUNTY,0.6400990099009901,0.6502300270575484,0.7317590204275253,red,red,red,123220,131941,134916
Florida,MIAMI-DADE COUNTY,0.4329730622385775,0.45877006876842596,0.5337686600737059,blue,blue,blue,2028565,2136591,2167261
Florida,MONROE COUNTY,0.617755915475136,0.6508841285893782,0.7626435047715833,blue,red,red,63224,65262,62977
Florida,NASSAU COUNTY,0.6893923930053752,0.7286100645645411,0.8264614952220348,red,red,red,58788,63967,71160
Florida,OKALOOSA COUNTY,0.6441350537809759,0.6477978534128936,0.7100244051250763,red,red,red,147171,155689,163900
Florida,OKEECHOBEE COUNTY,0.4033250425448357,0.42874638864464265,0.4804408709007137,red,red,red,30556,31844,33207
Florida,ORANGE COUNTY,0.503933817212841,0.5318268597024631,0.5953141982789854,blue,blue,blue,925437,1027167,1087498
Florida,OSCEOLA COUNTY,0.5063846637627821,0.5518465601593281,0.604718201935115,blue,blue,blue,214655,254067,285151
Florida,PALM BEACH COUNTY,0.55380180359576,0.5663464679234054,0.6373979691522855,blue,blue,blue,1084722,1169482,1212991
Florida,PASCO COUNTY,0.5740592409418342,0.5941345173037407,0.6834498180303826,red,red,red,372040,405866,441832
Florida,PINELLAS COUNTY,0.6009237669103437,0.6157100128543062,0.6826200590035258,blue,red,blue,761664,799732,819951
Florida,POLK COUNTY,0.5243512107078698,0.5504254309969315,0.6069505005817428,red,red,red,474268,516535,565542
Florida,PUTNAM COUNTY,0.5506741908830406,0.5833025099075297,0.6190832808537436,red,red,red,56883,56775,58753
Florida,SANTA ROSA COUNTY,0.6309972492507288,0.6645586397546105,0.741942422581339,red,red,red,121785,132035,144119
Florida,SARASOTA COUNTY,0.6345186979338692,0.6493893450058967,0.7257562671330247,red,red,red,326988,352736,372818
Florida,SEMINOLE COUNTY,0.6221835175945339,0.6269035320746723,0.6980606378536941,red,red,blue,335303,358741,373628
Florida,ST. JOHNS COUNTY,0.7317376338602753,0.7452125685088543,0.8512683089053937,red,red,red,156880,183188,207481
Florida,ST. LUCIE COUNTY,0.5549105572244324,0.5779832325893461,0.6516961534676327,blue,red,red,221706,243687,264186
Florida,SUMTER COUNTY,0.6479846572524482,0.6767863133176786,0.7517577728104043,red,red,red,93334,113278,123025
Florida,SUWANNEE COUNTY,0.5163132614807873,0.5394938097024616,0.6003250085528566,red,red,red,34144,34651,35076
Florida,TAYLOR COUNTY,0.4958138523431554,0.5233507971381894,0.5850375505488157,red,red,red,18394,17751,17310
Florida,UNION COUNTY,0.43806352042888475,0.46165072158261716,0.5108384458077709,red,red,red,12311,12334,12225
Florida,VOLUSIA COUNTY,0.5788839744096043,0.6007940912974687,0.6734580774049962,red,red,red,405152,434207,456508
Florida,WAKULLA COUNTY,0.6062611140978454,0.6126431735642734,0.6879742813352772,red,red,red,24181,25057,26751
Florida,WALTON COUNTY,0.6252935109394544,0.646330918663413,0.7410276840659806,red,red,red,45569,52043,58987
Florida,WASHINGTON COUNTY,0.5606014271151886,0.5698814875357581,0.6043239533287578,red,red,red,19620,19576,20398
Georgia,APPLING COUNTY,0.5155704307334109,0.5074540454479665,0.6012398183521949,red,red,red,13744,13818,13873
Georgia,ATKINSON COUNTY,0.49178105405863415,0.4356534802203305,0.5236514522821577,red,red,red,5901,5991,6025
Georgia,BACON COUNTY,0.47723685807939786,0.4798854005013728,0.5603168887288441,red,red,red,8237,8377,8331
Georgia,BAKER COUNTY,0.611388995767603,0.5614035087719298,0.6354720065386187,blue,red,red,2599,2565,2447
Georgia,BALDWIN COUNTY,0.4342988579528738,0.4408819828199376,0.4986339544287197,blue,blue,blue,37389,36554,36602
Georgia,BANKS COUNTY,0.45061099796334014,0.4942602040816326,0.5879877071084981,red,red,red,13748,14112,14968
Georgia,BARROW COUNTY,0.4964244203226887,0.5140451425741173,0.6134098997088321,red,red,red,50761,56532,61820
Georgia,BARTOW COUNTY,0.48183788003176187,0.5082959554807285,0.6150986629614733,red,red,red,74303,77809,82047
