,,total,total,total,dem,dem,dem,gop,gop,gop,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT,turnout,turnout,turnout,winner,winner,winner,repturnout,repturnout,repturnout,demturnout,demturnout,demturnout
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020,2012,2016,2020,2012,2016,2020,2012,2016,2020,2012,2016,2020,2012,2016,2020
state,county,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,APACHE COUNTY,25848,27661,35172,17147,17083,23293,8250,8240,11442,50581,51444,52462,0.5110219252288408,0.5376914703366767,0.6704281194007091,blue,blue,blue,0.1631047231173761,0.16017416997123085,0.21810072052152032,0.3390008105810482,0.3320698234973952,0.4439975601387671
Arizona,COCHISE COUNTY,49003,50015,60442,18546,17450,23732,29497,28092,35557,102516,98115,98949,0.47800343361036324,0.5097589563267594,0.610839927639491,red,red,red,0.28773069569628157,0.28631707689955666,0.3593467341761918,0.18090834601428069,0.1778525200020384,0.2398407260305814
Arizona,COCONINO COUNTY,51731,59784,73272,29257,32404,44698,21220,21108,27052,105355,110766,114726,0.4910160884628162,0.5397324088619252,0.6386695256524241,blue,blue,blue,0.20141426605286888,0.19056389144683386,0.23579659362306712,0.2776992074415073,0.292544643663218,0.389606540801562
Arizona,GILA COUNTY,21528,22312,27662,7697,7003,8943,13455,14182,18377,41996,42473,43364,0.512620249547576,0.5253219692510536,0.6379024075269809,red,red,red,0.32038765596723495,0.3339062463211923,0.4237847062079144,0.18327935993904182,0.16488121865655828,0.20623097500230606
Arizona,GRAHAM COUNTY,11855,12134,14995,3609,3301,4034,8076,8025,10749,26629,27365,28485,0.44519133275752,0.44341311894756075,0.5264174126733369,red,red,red,0.30327838071275676,0.2932578110725379,0.37735650342285415,0.13552893462015098,0.12062854010597479,0.14161839564683168
Arizona,GREENLEE COUNTY,2974,3270,3685,1310,1092,1182,1592,1892,2433,6216,6932,6929,0.47844272844272845,0.4717253317945759,0.5318227738490403,red,red,red,0.25611325611325614,0.27293710328909404,0.3511329196132198,0.21074646074646075,0.15753029428736295,0.17058738634723625
Arizona,LA PAZ COUNTY,5717,5951,7458,1880,1575,2236,3714,4003,5129,16963,17134,17602,0.337027648411248,0.3473211159098868,0.4237018520622656,red,red,red,0.2189471202027943,0.23362904167153029,0.2913873423474605,0.1108294523374403,0.0919224932881989,0.12703101920236337
Arizona,MARICOPA COUNTY,1376558,1567834,2068144,602288,702907,1040774,749885,747361,995665,2936120,3211784,3432976,0.4688357424083484,0.48815051074418453,0.6024347388388384,red,red,blue,0.2553999836518943,0.23269341898458926,0.290029700178504,0.20513058049398525,0.218852513120434,0.30316961143917115
Arizona,MOHAVE COUNTY,70010,79943,104668,19533,17455,24831,49168,58282,78535,163550,168670,176822,0.42806481198410273,0.4739609889132626,0.5919399169786566,red,red,red,0.30062977682665853,0.3455386257188593,0.44414722149958713,0.11943136655457047,0.10348609711270529,0.1404293583377634
Arizona,NAVAJO COUNTY,37335,40294,51767,16945,16459,23383,19884,20577,27657,76487,78948,81804,0.4881221645508387,0.510386583573998,0.6328174661385751,red,red,red,0.25996574581301396,0.26063991488068095,0.33808860202435087,0.22154091544968427,0.208478998834676,0.2858417681286979
Arizona,PIMA COUNTY,382250,421640,520397,201251,224661,304981,174779,167428,207758,771131,798525,831972,0.495700471126177,0.5280235434081588,0.625498213882198,blue,blue,blue,0.22665279958917486,0.2096715819792743,0.2497175385710096,0.2609815971605343,0.2813449798065183,0.3665760386166842
Arizona,PINAL COUNTY,108315,129546,184974,44306,47892,75106,62079,72819,107077,285989,319021,360425,0.3787383430831256,0.4060735813629824,0.513210792814039,red,red,red,0.21706778932056828,0.22825770090370226,0.2970853853090102,0.15492204245617838,0.15012177881706848,0.20838177151973364
Arizona,SANTA CRUZ COUNTY,13894,16433,19556,9486,11690,13138,4235,3897,6194,33449,33574,34123,0.4153786361326198,0.48945612676475847,0.5731031855346833,blue,blue,blue,0.1266106610063081,0.11607196044558289,0.18151979603200188,0.283595922150139,0.34818609638410675,0.38501890220672275
Arizona,YAVAPAI COUNTY,100283,114450,143221,33918,35590,49602,64468,71330,91527,173325,186705,197624,0.5785835857493149,0.6129991162529124,0.7247146095615917,red,red,red,0.3719486513774701,0.382046544013283,0.4631370683722625,0.1956901774123756,0.19062156878498165,0.2509917823746104
Arizona,YUMA COUNTY,41953,53010,69881,18059,24605,32210,23352,25165,36534,147940,154398,160218,0.28358118156009193,0.34333346286869,0.4361619793031994,red,red,red,0.15784777612545628,0.1629878625370795,0.22802681346665168,0.12206975801000405,0.15936087255016257,0.20103858492803556
Florida,ALACHUA COUNTY,120418,128571,142604,69699,75820,89704,48797,46834,50972,206625,216324,220754,0.5827852389594677,0.5943445942197815,0.6459860296982162,blue,blue,blue,0.236162129461585,0.2164993250864444,0.2308995533489767,0.3373212341197822,0.3504927793494943,0.40635277276968934
Florida,BAKER COUNTY,11368,12634,14059,2311,2112,2037,8975,10294,11911,20166,21036,22239,0.563721114747595,0.6005894656778855,0.6321777058320968,red,red,red,0.445056034910245,0.4893515877543259,0.5355906290750483,0.11459882971337895,0.10039931545921278,0.09159584513692162
