,year,state,state_po,county,total,dem,gop,AGE18PLUS_TOT
0,2012,Arizona,AZ,APACHE COUNTY,25848,17147,8250,50581
1,2012,Arizona,AZ,COCHISE COUNTY,49003,18546,29497,102516
2,2012,Arizona,AZ,COCONINO COUNTY,51731,29257,21220,105355
3,2012,Arizona,AZ,GILA COUNTY,21528,7697,13455,41996
4,2012,Arizona,AZ,GRAHAM COUNTY,11855,3609,8076,26629
5,2012,Arizona,AZ,GREENLEE COUNTY,2974,1310,1592,6216
6,2012,Arizona,AZ,LA PAZ COUNTY,5717,1880,3714,16963
7,2012,Arizona,AZ,MARICOPA COUNTY,1376558,602288,749885,2936120
8,2012,Arizona,AZ,MOHAVE COUNTY,70010,19533,49168,163550
9,2012,Arizona,AZ,NAVAJO COUNTY,37335,16945,19884,76487
10,2012,Arizona,AZ,PIMA COUNTY,382250,201251,174779,771131
11,2012,Arizona,AZ,PINAL COUNTY,108315,44306,62079,285989
12,2012,Arizona,AZ,SANTA CRUZ COUNTY,13894,9486,4235,33449
13,2012,Arizona,AZ,YAVAPAI COUNTY,100283,33918,64468,173325
14,2012,Arizona,AZ,YUMA COUNTY,41953,18059,23352,147940
15,2012,Florida,FL,ALACHUA COUNTY,120418,69699,48797,206625
16,2012,Florida,FL,BAKER COUNTY,11368,2311,8975,20166
17,2012,Florida,FL,BAY COUNTY,79861,22051,56876,134691
18,2012,Florida,FL,BRADFORD COUNTY,11635,3325,8219,21518
19,2012,Florida,FL,BREVARD COUNTY,285559,122993,159300,442332
20,2012,Florida,FL,BROWARD COUNTY,756422,508312,244101,1417997
21,2012,Florida,FL,CALHOUN COUNTY,6152,1664,4366,11553
22,2012,Florida,FL,CHARLOTTE COUNTY,84682,35906,47996,140504
23,2012,Florida,FL,CITRUS COUNTY,73935,28460,44662,117846
24,2012,Florida,FL,CLAY COUNTY,96589,25759,70022,145151
25,2012,Florida,FL,COLLIER COUNTY,149112,51698,96520,269563
26,2012,Florida,FL,COLUMBIA COUNTY,27163,8462,18429,53038
27,2012,Florida,FL,DESOTO COUNTY,9865,4174,5587,27500
28,2012,Florida,FL,DIXIE COUNTY,6941,1798,5052,13068
29,2012,Florida,FL,DUVAL COUNTY,411848,196737,211615,676813
30,2012,Florida,FL,ESCAMBIA COUNTY,148502,58185,88711,239353
31,2012,Florida,FL,FLAGLER COUNTY,50595,23207,26969,79694
32,2012,Florida,FL,FRANKLIN COUNTY,5474,1845,3570,9669
33,2012,Florida,FL,GADSDEN COUNTY,22499,15770,6630,35905
34,2012,Florida,FL,GILCHRIST COUNTY,7909,1885,5917,13365
35,2012,Florida,FL,GLADES COUNTY,3989,1603,2344,10393
36,2012,Florida,FL,GULF COUNTY,7108,2014,4995,13307
37,2012,Florida,FL,HAMILTON COUNTY,5407,2228,3138,11930
38,2012,Florida,FL,HARDEE COUNTY,7226,2463,4696,19934
39,2012,Florida,FL,HENDRY COUNTY,10185,4751,5355,27226
40,2012,Florida,FL,HERNANDO COUNTY,83667,37830,44938,139478
41,2012,Florida,FL,HIGHLANDS COUNTY,42444,16148,25915,80533
42,2012,Florida,FL,HILLSBOROUGH COUNTY,542102,286467,250186,981053
43,2012,Florida,FL,HOLMES COUNTY,8274,1264,6919,15625
44,2012,Florida,FL,INDIAN RIVER COUNTY,71464,27492,43450,114873
