state,county,year,total,dem,gop,AGE18PLUS_TOT,repturnout,demturnout,turnout,winner,dem_per,gop_per,reg_voters,turnout_reg,turnout_rep_reg,turnout_dem_reg,,,,,,
Wisconsin,MENOMINEE COUNTY,2020,1585,1303,278,3041,0.091417297,0.428477475,0.521210128,blue,0.822082019,0.175394322,1789,0.885969816,0.155394075,0.728339855,,,,,0.703419359,0.728339855
Wisconsin,DANE COUNTY,2020,344745,260157,78789,436427,0.18053191,0.596106565,0.789925921,blue,0.754636035,0.228542836,390887,0.881955655,0.201564647,0.665555519,,,,,0.7032814,0.665555519
North Carolina,DURHAM COUNTY,2020,179914,144688,32459,255829,0.126877719,0.56556528,0.703258817,blue,0.804206454,0.180413976,244574,0.735621939,0.132716478,0.591591911,,,,,0.69237013,0.591591911
Wisconsin,MILWAUKEE COUNTY,2020,458935,317251,134355,720305,0.186525153,0.440439814,0.637139823,blue,0.691276542,0.292753876,557089,0.823809122,0.241173313,0.569479922,,,,,0.687745098,0.569479922
North Carolina,ORANGE COUNTY,2020,84997,63594,20176,119925,0.168238482,0.530281426,0.708751303,blue,0.748191113,0.237373084,111900,0.759579982,0.180303843,0.568310992,,,,,0.684763573,0.568310992
Georgia,DEKALB COUNTY,2020,370804,308227,58373,584968,0.099788364,0.526912583,0.633887666,blue,0.831239685,0.157422789,547802,0.676894206,0.106558574,0.562661327,,,,,0.679743493,0.562661327
Pennsylvania,PHILADELPHIA COUNTY,2020,741899,604175,132870,1241890,0.106990152,0.486496389,0.597395099,blue,0.814362871,0.179094459,1129339,0.656932064,0.117652893,0.534981082,,,,,0.677882061,0.534981082
Pennsylvania,MONTGOMERY COUNTY,2020,510157,319511,185460,652435,0.284258202,0.489720815,0.781927702,blue,0.626299355,0.363535147,609649,0.836804456,0.304207831,0.524090091,,,,,0.672380563,0.524090091
Wisconsin,BAYFIELD COUNTY,2020,10885,6155,4617,12431,0.371410184,0.495133135,0.875633497,blue,0.565457051,0.42416169,11795,0.922848665,0.39143705,0.521831284,,,,,0.666275376,0.521831284
Florida,GADSDEN COUNTY,2020,23762,16153,7465,35804,0.208496257,0.451150709,0.663668864,blue,0.679782847,0.314157057,31155,0.762702616,0.23960841,0.518472155,,,,,0.665522621,0.518472155
Wisconsin,IOWA COUNTY,2020,13961,7828,5907,18396,0.321102414,0.425527289,0.758914982,blue,0.560704821,0.423107227,15136,0.922370507,0.390261628,0.51717759,,,,,0.665068671,0.51717759
Georgia,HANCOCK COUNTY,2020,4165,2985,1159,7175,0.161533101,0.416027875,0.580487805,blue,0.716686675,0.278271309,5835,0.713796058,0.198628963,0.511568123,,,,,0.660180832,0.511568123
Michigan,WASHTENAW COUNTY,2020,216280,157136,56241,299837,0.187571914,0.524071412,0.721325253,blue,0.726539671,0.260037914,316414,0.683534863,0.17774498,0.496615194,,,,,0.657707304,0.496615194
North Carolina,WAKE COUNTY,2020,631830,393336,226197,849055,0.266410303,0.463263275,0.744156739,blue,0.622534543,0.358002944,794495,0.795259882,0.284705379,0.495076747,,,,,0.656973222,0.495076747
Arizona,COCONINO COUNTY,2020,73272,44698,27052,114726,0.235796594,0.389606541,0.638669526,blue,0.610028387,0.369199694,90669,0.808126261,0.298359969,0.49297996,,,,,0.651234778,0.49297996
Wisconsin,LA CROSSE COUNTY,2020,67798,37817,28661,94882,0.30206994,0.398568749,0.714550705,blue,0.557789315,0.422741084,76830,0.882441755,0.373044384,0.492216582,,,,,0.644408493,0.492216582
Georgia,CLAYTON COUNTY,2020,112344,95476,15813,211634,0.074718618,0.451137341,0.53084098,blue,0.84985402,0.140755181,194338,0.578085603,0.081368543,0.491288374,,,,,0.639600636,0.491288374
Wisconsin,ASHLAND COUNTY,2020,8751,4794,3845,12135,0.316852081,0.395055624,0.721137206,blue,0.547823106,0.439378357,9770,0.895701126,0.393551689,0.490685773,,,,,0.637942426,0.490685773
Florida,BROWARD COUNTY,2020,957672,618752,333409,1542553,0.216141034,0.401122036,0.620835718,blue,0.646100126,0.348145294,1266991,0.755863301,0.263150251,0.488363374,,,,,0.637535589,0.488363374
Pennsylvania,DELAWARE COUNTY,2020,327931,206423,118532,442236,0.268028835,0.466771136,0.74152941,blue,0.629470834,0.361454086,425517,0.770664862,0.278559964,0.485111053,,,,,,
Wisconsin,EAU CLAIRE COUNTY,2020,58235,31617,25339,83560,0.303243179,0.37837482,0.696924366,blue,0.542920924,0.435116339,65337,0.891302019,0.387820071,0.483906515,,,,,,
Wisconsin,DOUGLAS COUNTY,2020,24668,13214,10919,34706,0.314614188,0.380741082,0.710770472,blue,0.535673747,0.442638236,27308,0.903325033,0.399846199,0.483887505,,,,,,
Wisconsin,ROCK COUNTY,2020,85348,46649,37133,125952,0.294818661,0.370371253,0.677623222,blue,0.546574026,0.435077565,97177,0.878273666,0.382117168,0.480041574,,,,,,
