state,county,year,total,dem,gop,AGE18PLUS_TOT,repturnout,demturnout,turnout,winner
Arizona,APACHE COUNTY,2012,25848,17147,8250,50581,0.1631047231173761,0.3390008105810482,0.5110219252288408,blue
Arizona,APACHE COUNTY,2016,27661,17083,8240,51444,0.16017416997123085,0.3320698234973952,0.5376914703366767,blue
Arizona,APACHE COUNTY,2020,35172,23293,11442,52462,0.21810072052152032,0.4439975601387671,0.6704281194007091,blue
Arizona,COCHISE COUNTY,2012,49003,18546,29497,102516,0.28773069569628157,0.18090834601428069,0.47800343361036324,red
Arizona,COCHISE COUNTY,2016,50015,17450,28092,98115,0.28631707689955666,0.1778525200020384,0.5097589563267594,red
Arizona,COCHISE COUNTY,2020,60442,23732,35557,98949,0.3593467341761918,0.2398407260305814,0.610839927639491,red
Arizona,COCONINO COUNTY,2012,51731,29257,21220,105355,0.20141426605286888,0.2776992074415073,0.4910160884628162,blue
Arizona,COCONINO COUNTY,2016,59784,32404,21108,110766,0.19056389144683386,0.292544643663218,0.5397324088619252,blue
Arizona,COCONINO COUNTY,2020,73272,44698,27052,114726,0.23579659362306712,0.389606540801562,0.6386695256524241,blue
Arizona,GILA COUNTY,2012,21528,7697,13455,41996,0.32038765596723495,0.18327935993904182,0.512620249547576,red
Arizona,GILA COUNTY,2016,22312,7003,14182,42473,0.3339062463211923,0.16488121865655828,0.5253219692510536,red
Arizona,GILA COUNTY,2020,27662,8943,18377,43364,0.4237847062079144,0.20623097500230606,0.6379024075269809,red
Arizona,GRAHAM COUNTY,2012,11855,3609,8076,26629,0.30327838071275676,0.13552893462015098,0.44519133275752,red
Arizona,GRAHAM COUNTY,2016,12134,3301,8025,27365,0.2932578110725379,0.12062854010597479,0.44341311894756075,red
Arizona,GRAHAM COUNTY,2020,14995,4034,10749,28485,0.37735650342285415,0.14161839564683168,0.5264174126733369,red
Arizona,GREENLEE COUNTY,2012,2974,1310,1592,6216,0.25611325611325614,0.21074646074646075,0.47844272844272845,red
Arizona,GREENLEE COUNTY,2016,3270,1092,1892,6932,0.27293710328909404,0.15753029428736295,0.4717253317945759,red
Arizona,GREENLEE COUNTY,2020,3685,1182,2433,6929,0.3511329196132198,0.17058738634723625,0.5318227738490403,red
Arizona,LA PAZ COUNTY,2012,5717,1880,3714,16963,0.2189471202027943,0.1108294523374403,0.337027648411248,red
Arizona,LA PAZ COUNTY,2016,5951,1575,4003,17134,0.23362904167153029,0.0919224932881989,0.3473211159098868,red
Arizona,LA PAZ COUNTY,2020,7458,2236,5129,17602,0.2913873423474605,0.12703101920236337,0.4237018520622656,red
Arizona,MARICOPA COUNTY,2012,1376558,602288,749885,2936120,0.2553999836518943,0.20513058049398525,0.4688357424083484,red
Arizona,MARICOPA COUNTY,2016,1567834,702907,747361,3211784,0.23269341898458926,0.218852513120434,0.48815051074418453,red
Arizona,MARICOPA COUNTY,2020,2068144,1040774,995665,3432976,0.290029700178504,0.30316961143917115,0.6024347388388384,blue
Arizona,MOHAVE COUNTY,2012,70010,19533,49168,163550,0.30062977682665853,0.11943136655457047,0.42806481198410273,red
Arizona,MOHAVE COUNTY,2016,79943,17455,58282,168670,0.3455386257188593,0.10348609711270529,0.4739609889132626,red
Arizona,MOHAVE COUNTY,2020,104668,24831,78535,176822,0.44414722149958713,0.1404293583377634,0.5919399169786566,red
Arizona,NAVAJO COUNTY,2012,37335,16945,19884,76487,0.25996574581301396,0.22154091544968427,0.4881221645508387,red
Arizona,NAVAJO COUNTY,2016,40294,16459,20577,78948,0.26063991488068095,0.208478998834676,0.510386583573998,red
Arizona,NAVAJO COUNTY,2020,51767,23383,27657,81804,0.33808860202435087,0.2858417681286979,0.6328174661385751,red
Arizona,PIMA COUNTY,2012,382250,201251,174779,771131,0.22665279958917486,0.2609815971605343,0.495700471126177,blue
Arizona,PIMA COUNTY,2016,421640,224661,167428,798525,0.2096715819792743,0.2813449798065183,0.5280235434081588,blue
Arizona,PIMA COUNTY,2020,520397,304981,207758,831972,0.2497175385710096,0.3665760386166842,0.625498213882198,blue
Arizona,PINAL COUNTY,2012,108315,44306,62079,285989,0.21706778932056828,0.15492204245617838,0.3787383430831256,red
Arizona,PINAL COUNTY,2016,129546,47892,72819,319021,0.22825770090370226,0.15012177881706848,0.4060735813629824,red
Arizona,PINAL COUNTY,2020,184974,75106,107077,360425,0.2970853853090102,0.20838177151973364,0.513210792814039,red
Arizona,SANTA CRUZ COUNTY,2012,13894,9486,4235,33449,0.1266106610063081,0.283595922150139,0.4153786361326198,blue
Arizona,SANTA CRUZ COUNTY,2016,16433,11690,3897,33574,0.11607196044558289,0.34818609638410675,0.48945612676475847,blue
Arizona,SANTA CRUZ COUNTY,2020,19556,13138,6194,34123,0.18151979603200188,0.38501890220672275,0.5731031855346833,blue
Arizona,YAVAPAI COUNTY,2012,100283,33918,64468,173325,0.3719486513774701,0.1956901774123756,0.5785835857493149,red
Arizona,YAVAPAI COUNTY,2016,114450,35590,71330,186705,0.382046544013283,0.19062156878498165,0.6129991162529124,red
Arizona,YAVAPAI COUNTY,2020,143221,49602,91527,197624,0.4631370683722625,0.2509917823746104,0.7247146095615917,red
Arizona,YUMA COUNTY,2012,41953,18059,23352,147940,0.15784777612545628,0.12206975801000405,0.28358118156009193,red
Arizona,YUMA COUNTY,2016,53010,24605,25165,154398,0.1629878625370795,0.15936087255016257,0.34333346286869,red
Arizona,YUMA COUNTY,2020,69881,32210,36534,160218,0.22802681346665168,0.20103858492803556,0.4361619793031994,red
Florida,ALACHUA COUNTY,2012,120418,69699,48797,206625,0.236162129461585,0.3373212341197822,0.5827852389594677,blue
Florida,ALACHUA COUNTY,2016,128571,75820,46834,216324,0.2164993250864444,0.3504927793494943,0.5943445942197815,blue
Florida,ALACHUA COUNTY,2020,142604,89704,50972,220754,0.2308995533489767,0.40635277276968934,0.6459860296982162,blue
Florida,BAKER COUNTY,2012,11368,2311,8975,20166,0.445056034910245,0.11459882971337895,0.563721114747595,red
Florida,BAKER COUNTY,2016,12634,2112,10294,21036,0.4893515877543259,0.10039931545921278,0.6005894656778855,red
Florida,BAKER COUNTY,2020,14059,2037,11911,22239,0.5355906290750483,0.09159584513692162,0.6321777058320968,red
Florida,BAY COUNTY,2012,79861,22051,56876,134691,0.42227023334892455,0.16371546725467923,0.5929200911716447,red
Florida,BAY COUNTY,2016,87453,21797,62194,143792,0.4325275397796818,0.15158701457661067,0.6081909981083787,red
Florida,BAY COUNTY,2020,93024,25614,66097,138722,0.4764709274664437,0.18464266662822046,0.6705785672063551,red
Florida,BRADFORD COUNTY,2012,11635,3325,8219,21518,0.38195928989683053,0.15452179570592062,0.5407101031694396,red
Florida,BRADFORD COUNTY,2016,12098,2924,8913,21360,0.4172752808988764,0.13689138576779025,0.5663857677902622,red
Florida,BRADFORD COUNTY,2020,13632,3160,10334,22730,0.4546414430268368,0.13902331720193578,0.5997360316761988,red
Florida,BREVARD COUNTY,2012,285559,122993,159300,442332,0.3601367298771059,0.2780558494524475,0.6455761735528969,red
Florida,BREVARD COUNTY,2016,314752,119679,181848,469858,0.38702757003179683,0.25471312609341545,0.669887497924905,red
Florida,BREVARD COUNTY,2020,360764,148549,207883,492787,0.4218516316380099,0.30144666965646416,0.7320891176106512,red
