Rank,State,County,Republican Turnout,,"Rep Turnout Increase 
(2020-2016)","Republican
Votes 2020",Voting Age Pop 2020,,
,,,2016,2020,,,,,
1,Florida,GULF COUNTY,39.2%,54.8%,15.6%," 6,113 "," 11,147 ",,
2,Georgia,JASPER COUNTY,41.7%,53.3%,11.6%," 5,822 "," 10,924 ",,
3,Georgia,DAWSON COUNTY,52.8%,64.2%,11.4%," 13,398 "," 20,853 ",,
4,Georgia,HEARD COUNTY,37.8%,48.6%,10.9%," 4,516 "," 9,284 ",,
5,Georgia,HARALSON COUNTY,43.8%,54.5%,10.6%," 12,331 "," 22,637 ",,
6,Michigan,MISSAUKEE COUNTY,46.7%,57.0%,10.3%," 6,648 "," 11,658 ",,
7,Arizona,MOHAVE COUNTY,34.6%,44.4%,9.9%," 78,535 "," 176,822 ",,
8,Georgia,PIERCE COUNTY,44.0%,53.7%,9.7%," 7,899 "," 14,696 ",,
9,Michigan,OSCODA COUNTY,42.5%,52.2%,9.7%," 3,466 "," 6,646 ",,
10,Pennsylvania,FULTON COUNTY,49.1%,58.5%,9.5%," 6,824 "," 11,655 ",,
11,Georgia,BRYAN COUNTY,41.6%,50.9%,9.3%," 14,244 "," 27,979 ",,
12,Pennsylvania,ELK COUNTY,40.9%,50.2%,9.3%," 12,140 "," 24,173 ",,
13,Georgia,HART COUNTY,36.3%,45.5%,9.2%," 9,464 "," 20,783 ",,
14,Georgia,FRANKLIN COUNTY,40.5%,49.7%,9.2%," 9,069 "," 18,249 ",,
15,Georgia,JACKSON COUNTY,44.9%,54.1%,9.2%," 29,497 "," 54,499 ",,
16,Wisconsin,OCONTO COUNTY,44.5%,53.7%,9.2%," 16,266 "," 30,302 ",,
17,Georgia,PIKE COUNTY,53.3%,62.5%,9.2%," 9,127 "," 14,613 ",,
18,Pennsylvania,BEDFORD COUNTY,50.3%,59.5%,9.2%," 23,025 "," 38,720 ",,
19,Michigan,MONTCALM COUNTY,34.7%,43.8%,9.0%," 21,815 "," 49,856 ",,
20,Georgia,UNION COUNTY,52.0%,61.0%,9.0%," 12,651 "," 20,737 ",,
,Georgia,GILMER COUNTY,43.8%,52.8%,9.0%," 13,429 "," 25,438 ",,
,Georgia,FANNIN COUNTY,46.4%,55.4%,9.0%," 12,169 "," 21,950 ",,
,Arizona,GILA COUNTY,33.4%,42.4%,9.0%," 18,377 "," 43,364 ",,
,Florida,MIAMI-DADE COUNTY,15.6%,24.6%,9.0%," 532,833 "," 2,167,261 ",,
,Michigan,CLARE COUNTY,34.9%,43.8%,8.9%," 10,861 "," 24,807 ",,
,Georgia,MONROE COUNTY,41.5%,50.3%,8.9%," 11,060 "," 21,985 ",,
,Michigan,HURON COUNTY,42.1%,50.9%,8.8%," 12,731 "," 25,035 ",,
,Michigan,ARENAC COUNTY,39.9%,48.6%,8.7%," 5,928 "," 12,193 ",,
,Pennsylvania,JEFFERSON COUNTY,43.8%,52.5%,8.7%," 17,960 "," 34,209 ",,
,Georgia,BANKS COUNTY,43.5%,52.1%,8.6%," 7,795 "," 14,968 ",,
,Pennsylvania,ARMSTRONG COUNTY,43.9%,52.5%,8.6%," 27,479 "," 52,371 ",,
,Michigan,NEWAYGO COUNTY,41.0%,49.6%,8.6%," 18,857 "," 38,030 ",,
,Michigan,SANILAC COUNTY,41.5%,50.0%,8.5%," 16,194 "," 32,362 ",,
,Georgia,HABERSHAM COUNTY,38.7%,47.2%,8.5%," 16,637 "," 35,229 ",,
,Arizona,GRAHAM COUNTY,29.3%,37.7%,8.4%," 10,749 "," 28,485 ",,
,Michigan,GOGEBIC COUNTY,31.1%,39.5%,8.4%," 4,600 "," 11,633 ",,
,Georgia,CHATTOOGA COUNTY,33.5%,41.9%,8.4%," 8,064 "," 19,248 ",,
,Georgia,GORDON COUNTY,35.6%,44.0%,8.4%," 19,405 "," 44,119 ",,
,Wisconsin,SHAWANO COUNTY,39.7%,48.0%,8.3%," 15,447 "," 32,167 ",,
,Pennsylvania,MCKEAN COUNTY,34.9%,43.2%,8.3%," 14,067 "," 32,567 ",,
,Georgia,PUTNAM COUNTY,38.4%,46.6%,8.3%," 8,291 "," 17,786 ",,
,North Carolina,LINCOLN COUNTY,45.2%,53.5%,8.2%," 36,341 "," 67,981 ",,
,Georgia,MORGAN COUNTY,46.9%,55.1%,8.2%," 8,230 "," 14,938 ",,
,Michigan,TUSCOLA COUNTY,40.6%,48.7%,8.2%," 20,297 "," 41,651 ",,
,Pennsylvania,POTTER COUNTY,46.8%,54.9%,8.1%," 7,239 "," 13,183 ",,
,Michigan,PRESQUE ISLE COUNTY,42.1%,50.2%,8.1%," 5,342 "," 10,639 ",,
,Michigan,OGEMAW COUNTY,40.2%,48.3%,8.1%," 8,253 "," 17,100 ",,
,Arizona,YAVAPAI COUNTY,38.2%,46.3%,8.1%," 91,527 "," 197,624 ",,
,Michigan,MECOSTA COUNTY,29.4%,37.5%,8.1%," 13,267 "," 35,416 ",,
,Michigan,HILLSDALE COUNTY,39.5%,47.6%,8.1%," 17,037 "," 35,791 ",,
,Georgia,BACON COUNTY,40.2%,48.2%,8.1%," 4,018 "," 8,331 ",,
,North Carolina,STOKES COUNTY,46.2%,54.2%,8.0%," 20,144 "," 37,145 ",,
,Michigan,LAKE COUNTY,31.9%,39.9%,8.0%," 3,946 "," 9,901 ",,
,Georgia,WAYNE COUNTY,36.1%,44.1%,8.0%," 9,987 "," 22,665 ",,
,Georgia,STEPHENS COUNTY,38.7%,46.6%,7.9%," 9,368 "," 20,097 ",,
,Georgia,DADE COUNTY,38.6%,46.6%,7.9%," 6,066 "," 13,028 ",,
,Michigan,GLADWIN COUNTY,39.8%,47.7%,7.9%," 9,893 "," 20,722 ",,
,Georgia,CLINCH COUNTY,34.6%,42.5%,7.9%," 2,105 "," 4,958 ",,
,Wisconsin,PRICE COUNTY,41.4%,49.2%,7.9%," 5,394 "," 10,955 ",,
,Georgia,BRANTLEY COUNTY,39.8%,47.6%,7.9%," 6,991 "," 14,683 ",,
,Michigan,OSCEOLA COUNTY,41.1%,48.9%,7.9%," 8,928 "," 18,240 ",,
,Wisconsin,KEWAUNEE COUNTY,41.5%,49.4%,7.9%," 7,927 "," 16,044 ",,
,Michigan,MONTMORENCY COUNTY,44.7%,52.5%,7.8%," 4,171 "," 7,948 ",,
,Arizona,GREENLEE COUNTY,27.3%,35.1%,7.8%," 2,433 "," 6,929 ",,
,Georgia,EFFINGHAM COUNTY,41.6%,49.3%,7.8%," 23,358 "," 47,339 ",,
,Arizona,NAVAJO COUNTY,26.1%,33.8%,7.7%," 27,657 "," 81,804 ",,
,North Carolina,CALDWELL COUNTY,41.0%,48.8%,7.7%," 32,119 "," 65,842 ",,
,North Carolina,ASHE COUNTY,43.3%,50.9%,7.7%," 11,451 "," 22,479 ",,
,Michigan,MENOMINEE COUNTY,35.6%,43.3%,7.7%," 8,117 "," 18,767 ",,
,North Carolina,CURRITUCK COUNTY,46.1%,53.8%,7.7%," 11,657 "," 21,675 ",,
,Georgia,MADISON COUNTY,41.5%,49.1%,7.7%," 11,326 "," 23,048 ",,
,Pennsylvania,BRADFORD COUNTY,38.1%,45.8%,7.6%," 21,600 "," 47,184 ",,
,Pennsylvania,CAMERON COUNTY,40.7%,48.4%,7.6%," 1,771 "," 3,661 ",,
,Georgia,MURRAY COUNTY,35.1%,42.7%,7.6%," 12,943 "," 30,292 ",,
,Michigan,ST. CLAIR COUNTY,39.2%,46.8%,7.6%," 59,185 "," 126,529 ",,
,Wisconsin,BUFFALO COUNTY,39.1%,46.6%,7.6%," 4,834 "," 10,366 ",,
,Georgia,ECHOLS COUNTY,34.9%,42.4%,7.5%," 1,256 "," 2,963 ",,
,Georgia,BARTOW COUNTY,38.4%,45.9%,7.5%," 37,674 "," 82,047 ",,
,Michigan,SCHOOLCRAFT COUNTY,38.6%,46.1%,7.5%," 3,090 "," 6,702 ",,
,Michigan,LAPEER COUNTY,43.4%,50.8%,7.5%," 35,482 "," 69,822 ",,
,Michigan,BARRY COUNTY,41.4%,48.8%,7.5%," 23,471 "," 48,068 ",,
,Michigan,OCEANA COUNTY,35.8%,43.3%,7.4%," 8,892 "," 20,556 ",,
,Wisconsin,BURNETT COUNTY,43.3%,50.8%,7.4%," 6,461 "," 12,730 ",,
,Michigan,IONIA COUNTY,33.6%,40.9%,7.4%," 20,657 "," 50,447 ",,
,North Carolina,ROBESON COUNTY,20.9%,28.3%,7.4%," 27,806 "," 98,425 ",,
